"Unit Number","Unit Type","Occupancy Status","Tenant Name","Rent Start Date","Rent End Date","Monthly Rent","Outstanding Balance","Payable Months","Downpayment Amount","Registration Date"
101,Warehouse,Maintenance,N/A,N/A,N/A,45000.00,0,0,0,N/A
102,Commercial,Available,N/A,N/A,N/A,22500.00,0,0,0,N/A
105,Office,Occupied,"David Fuentes",2024-12-29,2026-05-20,33750.00,440000.00,14,100000.00,"2024-12-09 21:52:32"
106,Warehouse,Available,N/A,N/A,N/A,45000.00,0,0,0,N/A
107,Commercial,Available,N/A,N/A,N/A,67500.00,0,0,0,N/A
115,Warehouse,Available,N/A,N/A,N/A,49500.00,0,0,0,N/A
116,Office,Available,N/A,N/A,N/A,36000.00,0,0,0,N/A
201,Commercial,Available,N/A,N/A,N/A,22500.00,0,0,0,N/A

"Summary Statistics"
"Total Units",8
"Occupied Units",1
"Available Units",7
"Occupancy Rate",12.5%
